id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
27,3,3,1,1,0,5,1,2,3,2,3,2,4,2,1,2,0,3,1,3
28,2,3,1,3,3,5,3,3,4,2,4,1,1,2,5,4,4,2,3,1
29,1,0,5,5,0,4,1,5,2,2,4,4,1,3,4,5,5,4,1,2
30,1,1,5,1,0,3,0,5,2,2,4,4,3,0,2,0,3,0,1,2
31,2,3,1,5,1,1,0,2,2,0,3,4,1,0,3,0,0,2,2,0
32,3,0,3,1,1,1,0,0,3,2,2,1,5,1,3,0,1,3,1,1
33,2,2,5,5,2,1,0,4,0,5,0,1,0,2,2,4,5,5,4,3
34,3,3,1,1,2,2,3,1,3,3,1,0,3,0,0,3,1,1,0,1
35,1,5,5,4,2,4,2,4,2,2,4,0,4,3,1,4,4,5,5,0
36,1,0,5,2,0,4,1,3,3,3,2,3,1,1,2,1,3,4,5,0
37,1,1,5,3,2,5,3,4,5,4,5,4,3,2,1,3,4,1,4,3
38,3,4,2,4,1,4,3,5,4,4,4,5,1,1,5,2,5,5,5,3
39,0,1,5,4,3,0,5,5,5,5,2,0,0,3,3,3,4,3,3,2
40,1,2,3,3,2,5,4,4,2,4,4,0,2,2,0,1,0,1,0,1
41,1,0,4,5,3,4,2,5,1,5,4,4,0,3,4,4,5,2,5,4
42,1,3,4,4,1,2,2,2,5,2,3,1,4,2,5,4,1,0,3,0
43,3,0,4,4,3,5,0,4,5,2,2,5,4,2,0,5,4,5,0,1
44,3,5,4,5,2,4,2,5,2,3,0,4,2,1,3,5,5,1,0,3
45,1,1,4,0,1,3,0,1,5,2,2,5,0,2,0,3,2,4,3,3
46,0,0,4,4,0,5,0,4,3,5,5,5,3,0,5,2,4,0,1,1
47,3,1,5,0,1,1,5,5,3,4,4,0,0,0,4,5,1,4,3,3
48,0,1,5,5,3,5,0,4,0,3,4,5,2,1,0,2,0,0,3,2
49,2,3,3,5,3,1,1,5,5,5,4,2,5,1,2,3,4,0,1,0
50,0,1,5,2,1,4,0,4,1,1,5,0,1,2,1,1,3,3,2,3
51,2,0,1,2,2,4,3,3,1,0,1,1,0,1,4,3,2,3,0,0
52,1,0,1,4,0,2,3,0,0,0,3,2,3,3,3,3,0,2,1,3
53,3,1,4,5,1,3,1,4,5,1,1,4,0,3,3,2,5,1,0,0
54,0,3,4,5,0,4,0,5,2,3,0,4,0,0,4,5,2,0,1,0
55,2,0,4,5,3,4,2,0,0,2,3,1,2,1,4,3,4,2,5,1
56,0,3,5,4,0,4,1,4,1,1,1,3,1,2,1,5,2,4,1,3
57,2,0,5,5,3,5,0,5,2,4,4,4,4,2,3,4,4,0,2,1
58,2,1,5,4,2,5,3,4,2,3,1,0,3,1,0,1,1,1,2,3
59,3,4,5,5,2,4,2,1,2,0,2,1,1,0,5,3,2,0,4,0
60,3,3,5,5,1,4,0,5,4,5,4,4,5,2,4,5,5,3,4,2
61,0,0,5,3,3,1,5,4,2,0,0,0,3,0,5,0,3,5,0,2
62,1,0,4,0,1,4,4,4,5,3,0,1,2,1,5,0,1,2,1,2
63,0,1,5,3,2,5,1,5,3,1,2,2,3,3,0,3,0,2,2,2
64,0,3,4,5,1,3,3,3,3,3,5,4,1,1,4,3,4,3,2,2
65,3,3,4,4,3,2,3,5,1,0,1,4,1,3,3,2,4,1,3,3
66,0,1,5,5,1,5,2,5,4,2,4,4,3,1,3,2,4,4,4,1
67,1,0,0,0,0,5,2,4,3,3,0,3,0,3,2,4,5,3,1,3
68,3,4,4,4,1,2,2,5,2,3,1,4,1,2,2,2,1,2,4,3
69,1,4,4,1,3,3,0,4,3,3,0,1,3,0,2,5,1,0,3,5
70,3,3,0,1,1,5,3,4,3,1,4,2,3,1,1,1,4,2,3,2
71,3,3,3,3,1,2,5,1,4,2,5,4,0,1,3,3,1,0,0,0
72,2,0,5,5,3,1,1,4,1,3,5,5,0,2,4,1,5,2,1,4
73,1,2,5,4,3,4,2,4,3,0,3,2,0,0,0,0,4,4,0,2
74,2,3,3,1,1,1,1,0,1,0,0,3,1,0,5,1,3,2,0,3
75,0,2,4,3,2,4,4,0,0,3,5,5,1,3,4,1,4,4,3,4
